Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
18:18:02 Jan 05 2021,92,35,0,0,0
18:18:04 Jan 05 2021,92,35,0,0,0
18:18:06 Jan 05 2021,92,35,0,0,0
18:18:08 Jan 05 2021,92,35,0,0,0
18:18:10 Jan 05 2021,92,35,0,0,0
18:18:12 Jan 05 2021,92,35,0,0,0
18:18:14 Jan 05 2021,92,35,1,0,0
18:18:16 Jan 05 2021,92,35,1,0,0
18:18:18 Jan 05 2021,92,35,1,0,0
18:18:20 Jan 05 2021,91,39,0,0,0
18:18:22 Jan 05 2021,91,40,0,0,0
18:18:24 Jan 05 2021,91,42,0,0,0
18:18:26 Jan 05 2021,91,42,1,0,0
18:18:28 Jan 05 2021,90,40,0,0,0
18:18:30 Jan 05 2021,89,41,0,0,0
18:18:32 Jan 05 2021,89,41,0,0,0
18:18:34 Jan 05 2021,88,41,1,0,0
18:18:36 Jan 05 2021,89,41,0,0,0
18:18:38 Jan 05 2021,89,41,1,0,0
18:18:40 Jan 05 2021,88,41,1,0,0
18:18:42 Jan 05 2021,88,42,1,0,0
18:18:44 Jan 05 2021,88,42,0,0,0
18:18:46 Jan 05 2021,88,42,1,0,0
18:18:48 Jan 05 2021,88,44,1,0,0
18:18:50 Jan 05 2021,88,43,0,0,0
18:18:52 Jan 05 2021,88,43,0,0,0
18:18:54 Jan 05 2021,88,44,0,0,0
18:18:56 Jan 05 2021,88,44,0,0,0
18:18:58 Jan 05 2021,89,44,1,0,0
18:19:00 Jan 05 2021,89,44,0,0,0
18:19:02 Jan 05 2021,90,44,0,0,0
18:19:04 Jan 05 2021,91,45,1,0,0
18:19:06 Jan 05 2021,90,44,0,0,0
18:19:08 Jan 05 2021,91,44,0,0,0
18:19:10 Jan 05 2021,91,44,0,0,0
18:19:12 Jan 05 2021,91,44,0,0,0
18:19:14 Jan 05 2021,91,44,1,0,0
18:19:16 Jan 05 2021,91,44,1,0,0
18:19:18 Jan 05 2021,91,45,0,0,0
18:19:20 Jan 05 2021,91,46,0,0,0
18:19:22 Jan 05 2021,91,44,1,0,0
18:19:24 Jan 05 2021,91,44,0,0,0
18:19:26 Jan 05 2021,91,43,0,0,0
18:19:28 Jan 05 2021,91,43,0,0,0
18:19:30 Jan 05 2021,91,45,2,0,0
18:19:32 Jan 05 2021,91,45,1,0,0
18:19:34 Jan 05 2021,91,47,1,0,0
18:19:36 Jan 05 2021,92,48,1,0,0
18:19:38 Jan 05 2021,92,47,1,0,0
18:19:40 Jan 05 2021,92,47,1,0,0
18:19:42 Jan 05 2021,92,47,7,0,0
18:19:44 Jan 05 2021,92,47,1,0,0
18:19:46 Jan 05 2021,92,47,0,0,0
18:19:48 Jan 05 2021,92,47,3,0,0
18:19:50 Jan 05 2021,92,47,1,0,0
18:19:52 Jan 05 2021,92,47,0,0,0
18:19:54 Jan 05 2021,92,49,0,0,0
18:19:56 Jan 05 2021,92,49,0,0,0
18:19:58 Jan 05 2021,92,52,0,0,0
18:20:00 Jan 05 2021,93,61,0,0,0
18:20:02 Jan 05 2021,94,66,0,0,0
18:20:04 Jan 05 2021,94,71,0,0,0
18:20:06 Jan 05 2021,94,69,0,0,0
18:20:08 Jan 05 2021,94,68,0,0,0
18:20:10 Jan 05 2021,94,70,0,0,0
18:20:12 Jan 05 2021,94,70,0,0,0
18:20:14 Jan 05 2021,95,72,0,0,0
18:20:16 Jan 05 2021,95,71,0,0,0
18:20:18 Jan 05 2021,95,71,0,0,0
18:20:20 Jan 05 2021,95,73,0,0,0
18:20:22 Jan 05 2021,95,73,0,0,0
18:20:24 Jan 05 2021,95,74,0,0,0
18:20:26 Jan 05 2021,94,75,0,0,0
18:20:28 Jan 05 2021,94,73,0,0,0
